計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
0,2024/10/20,ことら出金|オカモト リヨウ,-1000,みんなの銀行,未分類,未分類,,1,HygOD2zZ6XOiZozUcPf7tPBu50G0kx_6zFUm05v1sJQ
0,2024/10/20,ことら オカモト リヨウ,1000,ゆうちょ銀行,未分類,未分類,,1,iOcLKX8cH8rZmqnQYvak3fpyelSOgINK2IaDtxg9Sk8
0,2024/10/20,RT (PAYPAY),-1000,ゆうちょ銀行,特別な支出,端末・部品,,1,wrbCOlQrkOo1gtTYtaXPSzoCrtyRKNYxnn5Eoxf8vC8
0,2024/10/20,RT (PAYPAY),1000,PayPay,未分類,未分類,,1,gOpQLMQflFShczZ4yfRrcimwcrzc0-omBomtI_RothU
1,2024/10/20,Yahoo!オークション,-1000,PayPay,特別な支出,端末・部品,,0,kKRbnVVP8VgAxT_XuJmaiEDqigQOOBfde2rLbV-pbdI
1,2024/10/19,決済 Steam,-2792,LINE Pay,趣味・娯楽,映画・音楽・ゲーム,,0,bFxrNsHuydM_sksbPf3Z72Cyt0Kzd9yrhdDjguonWfk
1,2024/10/19,チャージ LINEの金融サービスでチャージ,2792,LINE Pay,収入,その他入金,,0,s-US1Hjfd7X3qKpYQND_fVlvI1qXL4iKf6-i-lo1eHs
1,2024/10/18,デビット利用|スタ-バツクス コ-ヒ- ジヤパン,-1000,みんなの銀行,趣味・娯楽,外食,,0,if3nJdoRaslrcYuUN9v-3ZakTMRlF3T7noHjLs42IMo
0,2024/10/18,ことら出金|オカモト リヨウ,-1000,みんなの銀行,未分類,未分類,,1,pb0p4DQzujeAYBRcFaj-PBnQzBOazuntp05Gr75Lvds
0,2024/10/18,ことら出金|オカモト リヨウ,-1354,みんなの銀行,未分類,未分類,,1,7vj_KHyN0COxrubVkk_VrnIASYF1KzjudJJbZxK3iDo
0,2024/10/18,ことら出金|オカモト リヨウ,-7354,みんなの銀行,未分類,未分類,,1,SxVAQX_FCq98W-1QIgy7k5dzH5y-JbSs1Q3AOeGE4tg
1,2024/10/18,決済 NAKAU,-1560,LINE Pay,趣味・娯楽,外食,,0,Yy3js_QBYQUHnUjdQ8uRTD9Yg-brUvmrZjknkg92pRw
